exp_id,client,segment,variation,metric,final_value,first_dt,final_dt,days_tracked
7142.0,UGT_ANDROID,Total,1.0,members,1016.0,2026-03-16,2026-03-18,3
7142.0,UGT_ANDROID,Total,1.0,revenue,784.9410062134266,2026-03-16,2026-03-18,3
7142.0,UGT_ANDROID,Total,2.0,members,1064.0,2026-03-16,2026-03-18,3
7142.0,UGT_ANDROID,Total,2.0,revenue,744.4895055770874,2026-03-16,2026-03-18,3
7142.0,UGT_ANDROID,Tour,1.0,members,1016.0,2026-03-16,2026-03-18,3
7142.0,UGT_ANDROID,Tour,1.0,revenue,382.33000066876417,2026-03-16,2026-03-18,3
7142.0,UGT_ANDROID,Tour,2.0,members,1064.0,2026-03-16,2026-03-18,3
7142.0,UGT_ANDROID,Tour,2.0,revenue,623.7130038261413,2026-03-16,2026-03-18,3
7142.0,UGT_IOS,Total,1.0,members,1168.0,2026-03-16,2026-03-18,3
7142.0,UGT_IOS,Total,1.0,revenue,2671.095011535792,2026-03-16,2026-03-18,3
7142.0,UGT_IOS,Total,2.0,members,1116.0,2026-03-16,2026-03-18,3
7142.0,UGT_IOS,Total,2.0,revenue,1559.2155267574271,2026-03-16,2026-03-18,3
7142.0,UGT_IOS,Tour,1.0,members,1168.0,2026-03-16,2026-03-18,3
7142.0,UGT_IOS,Tour,1.0,revenue,2000.3970020294187,2026-03-16,2026-03-18,3
7142.0,UGT_IOS,Tour,2.0,members,1116.0,2026-03-16,2026-03-18,3
7142.0,UGT_IOS,Tour,2.0,revenue,1126.8740037918092,2026-03-16,2026-03-18,3
7160.0,UGT_ANDROID,Interstitials,1.0,members,4675.0,2026-03-16,2026-03-18,3
7160.0,UGT_ANDROID,Interstitials,1.0,revenue,474.81000397205355,2026-03-16,2026-03-18,3
7160.0,UGT_ANDROID,Interstitials,2.0,members,4620.0,2026-03-16,2026-03-18,3
7160.0,UGT_ANDROID,Interstitials,2.0,revenue,551.3440092086793,2026-03-16,2026-03-18,3
7160.0,UGT_ANDROID,Total,1.0,members,4675.0,2026-03-16,2026-03-18,3
7160.0,UGT_ANDROID,Total,1.0,revenue,1383.0775194346907,2026-03-16,2026-03-18,3
7160.0,UGT_ANDROID,Total,2.0,members,4620.0,2026-03-16,2026-03-18,3
7160.0,UGT_ANDROID,Total,2.0,revenue,1317.4581323664856,2026-03-16,2026-03-18,3
7160.0,UGT_IOS,Interstitials,1.0,members,6137.0,2026-03-16,2026-03-18,3
7160.0,UGT_IOS,Interstitials,1.0,revenue,561.9810002803802,2026-03-16,2026-03-18,3
7160.0,UGT_IOS,Interstitials,2.0,members,5995.0,2026-03-16,2026-03-18,3
7160.0,UGT_IOS,Interstitials,2.0,revenue,1186.850002670288,2026-03-16,2026-03-18,3
7160.0,UGT_IOS,Total,1.0,members,6137.0,2026-03-16,2026-03-18,3
7160.0,UGT_IOS,Total,1.0,revenue,3147.2553774942567,2026-03-16,2026-03-18,3
7160.0,UGT_IOS,Total,2.0,members,5995.0,2026-03-16,2026-03-18,3
7160.0,UGT_IOS,Total,2.0,revenue,3452.056307418715,2026-03-16,2026-03-18,3
7187.0,UGT_ANDROID,Interstitials,1.0,members,7854.0,2026-03-20,2026-03-27,8
7187.0,UGT_ANDROID,Interstitials,1.0,revenue,428.2470066308975,2026-03-20,2026-03-27,8
7187.0,UGT_ANDROID,Interstitials,2.0,members,7891.0,2026-03-20,2026-03-27,8
7187.0,UGT_ANDROID,Interstitials,2.0,revenue,651.4909984111786,2026-03-20,2026-03-27,8
7187.0,UGT_ANDROID,Interstitials,3.0,members,7746.0,2026-03-20,2026-03-27,8
7187.0,UGT_ANDROID,Interstitials,3.0,revenue,1171.1385147452356,2026-03-20,2026-03-27,8
7187.0,UGT_ANDROID,Total,1.0,members,7854.0,2026-03-20,2026-03-27,8
7187.0,UGT_ANDROID,Total,1.0,revenue,1530.042514550686,2026-03-20,2026-03-27,8
7187.0,UGT_ANDROID,Total,2.0,members,7891.0,2026-03-20,2026-03-27,8
7187.0,UGT_ANDROID,Total,2.0,revenue,1521.9349641861247,2026-03-20,2026-03-27,8
7187.0,UGT_ANDROID,Total,3.0,members,7746.0,2026-03-20,2026-03-27,8
7187.0,UGT_ANDROID,Total,3.0,revenue,2206.9663822904326,2026-03-20,2026-03-27,8
7187.0,UGT_IOS,Interstitials,1.0,members,13899.0,2026-03-20,2026-03-27,8
7187.0,UGT_IOS,Interstitials,1.0,revenue,1087.175466002198,2026-03-20,2026-03-27,8
7187.0,UGT_IOS,Interstitials,2.0,members,13872.0,2026-03-20,2026-03-27,8
7187.0,UGT_IOS,Interstitials,2.0,revenue,1834.8259858608249,2026-03-20,2026-03-27,8
7187.0,UGT_IOS,Interstitials,3.0,members,13795.0,2026-03-20,2026-03-27,8
7187.0,UGT_IOS,Interstitials,3.0,revenue,2932.557517051063,2026-03-20,2026-03-27,8
7187.0,UGT_IOS,Total,1.0,members,13899.0,2026-03-20,2026-03-27,8
7187.0,UGT_IOS,Total,1.0,revenue,5291.115192331486,2026-03-20,2026-03-27,8
7187.0,UGT_IOS,Total,2.0,members,13872.0,2026-03-20,2026-03-27,8
7187.0,UGT_IOS,Total,2.0,revenue,7105.918173635254,2026-03-20,2026-03-27,8
7187.0,UGT_IOS,Total,3.0,members,13795.0,2026-03-20,2026-03-27,8
7187.0,UGT_IOS,Total,3.0,revenue,6454.732995307684,2026-03-20,2026-03-27,8
7193.0,UG_WEB,Total,1.0,members,1553.0,2026-03-30,2026-04-02,4
7193.0,UG_WEB,Total,1.0,revenue,2938.569974899292,2026-03-30,2026-04-02,4
7193.0,UG_WEB,Total,2.0,members,1609.0,2026-03-30,2026-04-02,4
7193.0,UG_WEB,Total,2.0,revenue,2924.2399978637695,2026-03-30,2026-04-02,4
7193.0,UG_WEB,Total,3.0,members,1486.0,2026-03-30,2026-04-02,4
7193.0,UG_WEB,Total,3.0,revenue,2104.0999965667725,2026-03-30,2026-04-02,4
7199.0,UG_WEB,Total,1.0,members,2235.0,2026-03-31,2026-04-07,8
7199.0,UG_WEB,Total,1.0,revenue,26807.869785308838,2026-03-31,2026-04-07,8
7199.0,UG_WEB,Total,2.0,members,2311.0,2026-03-31,2026-04-07,8
7199.0,UG_WEB,Total,2.0,revenue,29592.49983358383,2026-03-31,2026-04-07,8
7208.0,UGT_IOS,Total,1.0,members,3101.0,2026-03-27,2026-03-29,3
7208.0,UGT_IOS,Total,1.0,revenue,7004.530158181478,2026-03-27,2026-03-29,3
7208.0,UGT_IOS,Total,2.0,members,3027.0,2026-03-27,2026-03-29,3
7208.0,UGT_IOS,Total,2.0,revenue,5092.849985605479,2026-03-27,2026-03-29,3
7208.0,UGT_IOS,Total,3.0,members,3075.0,2026-03-27,2026-03-29,3
7208.0,UGT_IOS,Total,3.0,revenue,5876.828958550603,2026-03-27,2026-03-29,3
7208.0,UGT_IOS,Tour,1.0,members,3101.0,2026-03-27,2026-03-29,3
7208.0,UGT_IOS,Tour,1.0,revenue,5545.434990453721,2026-03-27,2026-03-29,3
7208.0,UGT_IOS,Tour,2.0,members,3027.0,2026-03-27,2026-03-29,3
7208.0,UGT_IOS,Tour,2.0,revenue,3718.0639759540554,2026-03-27,2026-03-29,3
7208.0,UGT_IOS,Tour,3.0,members,3075.0,2026-03-27,2026-03-29,3
7208.0,UGT_IOS,Tour,3.0,revenue,4114.949949765207,2026-03-27,2026-03-29,3
7211.0,UGT_ANDROID,Total,1.0,members,935.0,2026-03-27,2026-04-14,19
7211.0,UGT_ANDROID,Total,1.0,revenue,5493.847508531809,2026-03-27,2026-04-14,19
7211.0,UGT_ANDROID,Total,2.0,members,998.0,2026-03-27,2026-04-14,19
7211.0,UGT_ANDROID,Total,2.0,revenue,5518.642021870612,2026-03-27,2026-04-14,19
7220.0,UG_WEB,Total,1.0,members,8904.0,2026-03-27,2026-04-07,12
7220.0,UG_WEB,Total,1.0,revenue,576.4500026702881,2026-03-27,2026-04-07,12
7220.0,UG_WEB,Total,2.0,members,8795.0,2026-03-27,2026-04-07,12
7220.0,UG_WEB,Total,2.0,revenue,623.9999895095825,2026-03-27,2026-04-07,12
7229.0,UGT_ANDROID,Splashes,1.0,members,14237.0,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Splashes,1.0,revenue,647.4960025293226,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Splashes,2.0,members,14146.0,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Splashes,2.0,revenue,273.67450509071347,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Splashes,3.0,members,13979.0,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Splashes,3.0,revenue,443.989001750946,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Splashes,4.0,members,14136.0,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Splashes,4.0,revenue,532.8309984922408,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Splashes,5.0,members,13926.0,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Splashes,5.0,revenue,329.9700055122375,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Total,1.0,members,14237.0,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Total,1.0,revenue,4490.9388042352775,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Total,2.0,members,14146.0,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Total,2.0,revenue,4354.788087725638,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Total,3.0,members,13979.0,2026-04-06,2026-04-17,12
